sector	area	policyRef	policyNumber	title	Text	DataIntro	DataTitle	DataLink	ReportIntro	ReportTitle	ReportLink	BriefIntro	BriefTitle	BriefLink
Agriculture	1	1-1	01	Improve productivity sustainably through innovation, to lower emissions and feed a growing population	<p>Improving productivity can help reduce emissions by allowing agriculture to produce similar or higher amounts of food with fewer inputs. These productivity improvements will be sustainable if they are backed by regulations and efforts to prevent forest clearing. Boosting productivity requires both adopting existing technologies and techniques more widely, and encouraging innovation. </p> <p>One example is precision agriculture, where digital technologies such as global positioning systems and sensors are helping lower the amount of fertilisers contributing to emissions. For cattle, a leading source of agricultural emissions, improving feed quality and better matching it to the nutritional needs of cattle can help reduce emissions related to milk and meat production. Other innovations in breeding and animal health can also help cut emissions from cattle, while no-till farming can help reduce emissions from crop production.   </p> <p>More government effort is needed to improve agricultural innovation, both nationally and internationally, and to invest in research and development (R&D). Governments should improve public agricultural R&D funding, create the conditions to attract private investment and facilitate public-private partnerships, with the involvement of farmers and other stakeholders. They should also foster international R&D co-operation. </p>	VIDEO:	Planting Better Forests for a Changing Future, OECD (2017)	https://www.youtube.com/watch?v=nqGXYz5Sln4	ARTICLE: 	Rice and Risks in the Mekong River Delta, OECD Observer (2018)	https://oecdinsights.org/2018/01/16/rice-and-risks-in-the-mekong-river-delta/	REPORT:	Innovation, Productivity and Sustainability in Food and Agriculture: Main Findings from Country Reviews and Policy Lessons, OECD (2019)	https://dx.doi.org/10.1787/c9c4ec1d-en
Agriculture	2	1-2	02	Reform price-distorting regulations that increase agricultural emissions	<p>Agriculture is a heavily protected sector, with support of USD 530 billion provided directly to producers per year in 2016-18. More than half of this support results from regulatory measures that keep domestic prices above international levels. These can take, for example, the form of quantitative import restrictions, tariff rate quotas and tariffs, to keep cheaper foreign products out of the market, or production quotas that limit domestic production. </p> <p>These policies, along with payments linked to production and to unlimited use of inputs such as fertilisers or fuel, should be overhauled as they help drive up emissions from farming, by encouraging overproduction and more intense agriculture. They also lock producers into certain products, stifling innovation and adaptation to climate change. </p>	ARTICLE:	Managing Earth: The Land-Water-Energy Nexus, OECD Observer (2017)	https://www.oecdobserver.org/news/fullstory.php/aid/5955/Managing_earth:_The_land-water-energy_nexus.html	REPORT:	Agricultural Policy Monitoring and Evaluation, OECD (2019)	https://dx.doi.org/10.1787/39bfe6f3-en	REPORT:	Evaluating the Environmental Impact of Agricultural Policies, OECD (2019)	https://dx.doi.org/10.1787/add0f27c-en
Agriculture	3	1-3	03	Use taxes and support payments to reduce emissions and manage impacts on farmers and consumers 	<p>Mitigating greenhouse gas emissions in agriculture cost-effectively will involve using both carrots and sticks, to encourage better practices among producers to reduce emissions. This means, for example, pricing emissions, using emissions trading, and paying farmers for practices that lower emissions and help put carbon back into the soil through so-called carbon sinks. </p> <p>These measures all involve different trade-offs and the right mix of measures will vary by country. For example, policies requiring farmers to pay for emissions are the most effective and efficient way forward in agriculture in some countries and can help generate government revenue, but they can also impose relatively high costs on farmers - not all of whom can bear them - and can lead to higher food prices. On the other hand, paying farmers to reduce their emissions can ease the impact on producers and consumers, but will also put pressure on public finances unless balanced by a reduction in existing agricultural support. </p>	REPORT:	Enhancing Climate Change Mitigation through Agriculture, OECD (2019)	https://dx.doi.org/10.1787/88b5c98c-en	REPORT:	Cost-Effectiveness of Greenhouse Gas Mitigation Measures for Agriculture: A Literature Review, OECD (2015)	https://dx.doi.org/10.1787/5jrvvkq900vj-en			
Agriculture	4	1-4	04	Include agriculture in national climate mitigation strategies 	<p>As other sectors begin to decarbonise, notably energy and transport, agriculture is set to become a leading emitting sector. Policy makers should step up efforts to integrate agriculture into national mitigation strategies. There has been some progress in setting mitigation targets for agriculture but the global level of ambition for the sector falls well short of what is required for it to contribute to limiting the global temperature increases to below 2<sup>o</sup>C.</p> <p>At present, only two countries have introduced legally binding targets for agricultural emission reductions, and a handful of others have included mitigation targets for agriculture in their Nationally Determined Contributions under the Paris Climate Agreement. Clearly, there is a need to step up the global level of policy ambition to be in line with the agriculture sector’s potential to mitigate climate change. </p>	VIDEO:	Pushing our City Limits, OECD (2018)	https://www.youtube.com/watch?v=Nz5DlTnJlDM&feature=emb_logo	REPORT:	Rethinking Urban Sprawl, OECD (2018)	https://www.oecd.org/publications/rethinking-urban-sprawl-9789264189881-en.htm	REPORT:	Enhancing Climate Change Mitigation through Agriculture, OECD (2019)	https://dx.doi.org/10.1787/88b5c98c-en
Agriculture	5	1-5	05	Inform consumers and producers about food choices and how to reduce food waste	<p>Policies should aim to reduce food waste along supply chains, from farms and farmers through transport and retail practices, to consumers. Cutting food waste and loss could help cut emissions, although policy must deal with trade-offs, such as lost income to farmers. Where access to sufficient protein is not an issue, policies to promote lower-emission food choices may also help, such as encouraging more plant-based food choices or shifting to sourcing from lower-emission livestock systems. </p> <p>Educational measures, such as information campaigns for producers, are important,  along with adequate infrastructure, such as storage facilities, and legal frameworks, for instance to facilitate collaboration between local entities and charities. Information campaigns can also help consumers cut waste by encouraging them to choose, store and prepare food properly. </p>	REPORT:	Enhancing Climate Change Mitigation through Agriculture, OECD (2019)	https://dx.doi.org/10.1787/88b5c98c-en	REPORT:	Tackling Environmental Problems with the Help of Behavioural Insights, OECD (2017)	https://www.oecd.org/env/tackling-environmental-problems-with-the-help-of-behavioural-insights-9789264273887-en.htm	REPORT:	Food waste along the food chain, OECD (2014)	https://www.oecd-ilibrary.org/agriculture-and-food/food-waste-along-the-food-chain_5jxrcmftzj36-en
Building	1	2-1	06	Ensure public procurement is climate-friendly and invest in sustainable buildings 	<p>Governments can show the way by investing in green public procurement, requiring contractors to uphold sustainable practices and material use for large infrastructure projects such as schools, bridges and social housing. This not only addresses climate change but also encourages contractors, architects and planners to innovate with new low-carbon materials, methodologies and designs. </p> <p>The Navarra Social Housing project in Spain, for example, aims to build 524 energy efficient social homes for rent, in line with their sustainable construction standard, between 2018 and 2021. These flats will achieve savings of up to 90% with nearly zero emissions, and create almost 300 jobs. </p> <p>Setting rules and standards is key, as is the case in the Netherlands where only sustainable cement is allowed in building projects. To maximise innovation and sustainability in public procurement, the Netherlands uses the MEAT methodology - Most Economically Advantageous Tender - which rewards tenders that include reductions in emissions and a lower overall environmental impact. </p> 	VIDEO:	Financing Climate Futures - Rethinking Infrastructure, OECD (2018)	https://www.youtube.com/watch?v=FzDNEx3l_eY&feature=emb_logo	REPORT:	Financing Climate Futures - Rethinking Infrastructure, OECD (2018)	https://dx.doi.org/10.1787/9789264308114-en	REPORT:	Transition to sustainable buildings, International Energy Agency (2013)	https://www.oecd.org/publications/transition-to-sustainable-buildings-9789264202955-en.htm
Building	2	2-2	07	Put in place stringent climate-friendly building codes and standards	<p>Rapid urbanisation and a rising population will require more and more new homes and offices. For new buildings, sustainable certification schemes and standards can decrease emissions, and at reasonable cost. Such schemes cover sustainable building materials, integrated sustainable waste and water management systems and accessibility to amenities. </p> <p>Mandatory emissions limits could be considered, such as those used in New York City, which cap emissions per square metre based on a building’s size, function and shape. Net-zero and near-zero energy building standards are increasingly used to set high-energy performance requirements so that buildings consume the same or close to the same amount of energy as they produce, mostly from on-site or nearby renewable energy sources. The European Union for example requires all new buildings to be compliant with near-zero building standards by 2021. </p> <p>Low-energy houses are becoming more affordable and cost-effective compared with conventional buildings, and policy should compel contractors and building firms to produce them whenever possible. For instance, the so-called Passive House standard is a powerful voluntary certification for buildings, and increasingly used worldwide. Thanks to sound construction features, Passive House buildings are highly energy efficient, affordable and comfortable to live in, allowing for substantial energy savings of, up to 90% compared to regular existing buildings, and 75% compared to regular new buildings. </p>	REPORT:	Financing Climate Futures - Rethinking Infrastructure, OECD (2018)	https://dx.doi.org/10.1787/9789264308114-en	REPORT:	Transition to sustainable buildings, International Energy Agency (2013)	https://www.oecd.org/publications/transition-to-sustainable-buildings-9789264202955-en.htm			
Building	3	2-3	08	Use tax and financial incentives to renovate existing buildings 	<p>Improving the energy efficiency of buildings in our cities, towns and villages can sharply reduce emissions. Adding low-carbon roof and wall insulation such as flax wool, upgrading appliances such as boilers, and double-glazing windows helps reduce the energy needed to heat, cool and electrify homes, factories and offices. Less energy means fewer emissions, as well as lower electricity and heating bills, enhanced comfort, and cleaner air inside homes and offices. Since buildings last for decades if not centuries, renovations made today can reduce emissions and costs over time. </p> <p>Good practice examples abound. Energiesprong is an international initiative that accelerates retrofit solutions to deliver net-zero energy homes at no additional cost for residents. In partnership with the German Energy Agency, an accelerator programme was launched in 2019 in Germany to financially support general contractors and housing providers up to EUR 180 000 to retrofit buildings. In addition, the programme offers coaching by international Energiesprong experts, workshops and pitch events. Energiesprong attracts funding through European Union funds, national sources and philanthropic contributions. </p>	VIDEO:	Financing Climate Futures - Rethinking Infrastructure, OECD (2018)	https://www.youtube.com/watch?v=FzDNEx3l_eY&feature=emb_logo	REPORT:	Financing Climate Futures - Rethinking Infrastructure, OECD (2018)	https://dx.doi.org/10.1787/9789264308114-en	REPORT:	Transition to sustainable buildings, International Energy Agency (2013)	https://www.oecd.org/publications/transition-to-sustainable-buildings-9789264202955-en.htm
Building	4	2-4	09	Mainstream sustainable building within urban and rural planning	<p>All too often, the location of a new building with respect to other services in a city is not fully considered. Since 70% of the world’s population will live in cities by 2050, the necessity of integrated infrastructure and urban planning will only grow in importance. </p> <p>Assuring public transport availability near housing, offices, shopping districts and green spaces, can enhance a city’s vibrancy and economic development, while reducing greenhouse gas emissions thanks to reduced travel. Numerous cities, including low density ones, now look at housing optimisation for different types of location. </p> <p>Encouraging compact, denser cities can be beneficial, and regulations that provide for green spaces and water areas can prevent cities from becoming too congested and overheated. Policies to ensure decent and affordable homes are also essential. In cities generally, policy makers can foster investment in green transport and online connectivity, and encourage urban farming. </p>	VIDEO:	Pushing our City Limits, OECD (2018)	https://www.youtube.com/watch?v=Nz5DlTnJlDM&feature=emb_logo	REPORT:	Rethinking Urban Sprawl, OECD (2018)	https://www.oecd.org/publications/rethinking-urban-sprawl-9789264189881-en.htm	REPORT:	Decarbonising Urban Mobility with Land Use and Transport Policies: The case of Auckland, OECD (2019)	
Building	5	2-5	10	Educate planners and contractors on how to construct and maintain green buildings	<p>Raising awareness and training personnel on green buildings is essential, not just for construction but for the likes of renewable energy installations, pollution and waste reduction systems, and assuring air quality. Many of these require rigorous qualifications and state-of-the-art techniques to ensure a transition to reliable and safe low-carbon infrastructure. </p> <p>The World Green Building Council, which started in the United Kingdom and now has offices worldwide, provides a wide range of studies, seminars and awareness raising campaigns on the importance and cost-effectiveness of green buildings. It has launched the Net Zero Carbon Buildings Commitment, which calls on cities, regions, states and companies to commit to achieving net-zero operating emissions by 2030 and net-zero buildings by 2050. To date, 35 countries use GBC expertise to green their buildings at local or national level, and 42 stakeholders have signed the Net Zero Carbon Buildings Commitment, committing to reduce CO<sub>2</sub> emissions by 221 million tonnes of CO<sub>2</sub>eq, the equivalent to taking 47.3 million cars off the road each year. </p> <p>The Concrete Centre in the United Kingdom also provides guidance on how to use concrete and masonry to construct sustainable buildings that are highly energy efficient, resilient, comfortable and affordable. In support of this, they have created a package of information and tools to accompany e-learning modules on concrete materials and design. </p>	REPORT:	Tackling Environmental Problems with the Help of Behavioural Insights, OECD (2017)	https://www.oecd.org/env/tackling-environmental-problems-with-the-help-of-behavioural-insights-9789264273887-en.htm	REPORT:	Transition to sustainable buildings, International Energy Agency (2013)	https://www.oecd.org/publications/transition-to-sustainable-buildings-9789264202955-en.htm			
